Date,Close
2012-10-01,100.51
2012-10-02,99.49
2012-10-03,99.62
2012-10-04,101.48
2012-10-05,101.79
2012-10-08,101.35
2012-10-09,99.64
2012-10-10,101.56
2012-10-11,98.32
2012-10-12,97.55
2012-10-15,96.51
2012-10-16,97
2012-10-17,96.78
2012-10-18,96.33
2012-10-19,94.78
2012-10-22,95
2012-10-23,95.18
2012-10-24,95.62
2012-10-25,96.62
2012-10-26,96.94
2012-10-31,98.43
2012-11-01,97.13
2012-11-02,96.12
2012-11-05,97.73
2012-11-06,98.79
2012-11-07,97.3
2012-11-08,94.74
2012-11-09,95.46
2012-11-12,95.98
2012-11-13,95.69
2012-11-14,94.47
2012-11-15,95.7
2012-11-16,95.69
2012-11-19,96.57
2012-11-20,97.12
2012-11-21,96.74
2012-11-23,97.92
2012-11-26,96.26
2012-11-27,96.51
2012-11-28,102.58
2012-11-29,101.88
2012-11-30,103.92
2012-12-03,104.59
2012-12-04,104.4
2012-12-05,105.95
2012-12-06,98.47
2012-12-07,98.56
2012-12-10,98.95
2012-12-11,98.31
2012-12-12,97.72
2012-12-13,97.85
2012-12-14,96.92
2012-12-17,98.78
2012-12-18,99.86
2012-12-19,98.68
2012-12-20,99.2
2012-12-21,99.49
2012-12-24,99.44
2012-12-26,98.68
2012-12-27,97.92
2012-12-28,96.97
2012-12-31,98.73
2013-01-02,101.45
2013-01-03,102.49
2013-01-04,102.16
2013-01-07,101.37
2013-01-08,101.18
2013-01-09,101.23
2013-01-10,100.74
2013-01-11,100.28
2013-01-14,100.37
2013-01-15,101.15
2013-01-16,101.53
2013-01-17,100.96
2013-01-18,101.2
2013-01-22,102.15
2013-01-23,102.12
2013-01-24,102.89
2013-01-25,102.36
2013-01-28,102.49
2013-01-29,103.36
2013-01-30,102.53
2013-01-31,102.34
2013-02-01,104.15
2013-02-04,102.48
2013-02-05,103.31
2013-02-06,101.7
2013-02-07,101.85
2013-02-08,102.79
2013-02-11,101.99
2013-02-12,101.76
2013-02-13,101.63
2013-02-14,102.02
2013-02-15,102.17
2013-02-19,101.9
2013-02-20,101.08
2013-02-21,100.69
2013-02-22,101.16
2013-02-25,100.09
2013-02-26,99.45
2013-02-27,100.73
2013-02-28,101.29
2013-03-01,101.42
2013-03-04,103.43
2013-03-05,103.15
2013-03-06,102.56
2013-03-07,101.97
2013-03-08,103.04
2013-03-11,102.44
2013-03-12,103.75
2013-03-13,103.42
2013-03-14,102.91
2013-03-15,101.75
2013-03-18,101.68
2013-03-19,102.12
2013-03-20,103.08
2013-03-21,103.52
2013-03-22,105.11
2013-03-25,105.47
2013-03-26,105.97
2013-03-27,106.64
2013-03-28,106.11
2013-04-01,105.81
2013-04-02,107.68
2013-04-03,106.36
2013-04-04,106.36
2013-04-05,105.8
2013-04-08,107.04
2013-04-09,105.79
2013-04-10,105.75
2013-04-11,106.01
2013-04-12,106.13
2013-04-15,104.21
2013-04-16,105.55
2013-04-17,104.77
2013-04-18,103.61
2013-04-19,104.45
2013-04-22,105.16
2013-04-23,107.25
2013-04-24,107.83
2013-04-25,109.13
2013-04-26,109.27
2013-04-29,108.63
2013-04-30,108.43
2013-05-01,108.22
2013-05-02,108.69
2013-05-03,109.75
2013-05-06,109.09
2013-05-07,109.71
2013-05-08,109.61
2013-05-09,109.14
2013-05-10,109.99
2013-05-13,110.01
2013-05-14,111.39
2013-05-15,112.82
2013-05-16,111.51
2013-05-17,113.05
2013-05-20,112.02
2013-05-21,113.48
2013-05-22,113.38
2013-05-23,113.19
2013-05-24,114.39
2013-05-28,114.83
2013-05-29,112.95
2013-05-30,111.88
2013-05-31,109.63
2013-06-03,110.88
2013-06-04,110.66
2013-06-05,109.17
2013-06-06,111.09
2013-06-07,110.58
2013-06-10,110.31
2013-06-11,110.02
2013-06-12,109.4
2013-06-13,110.88
2013-06-14,111
2013-06-17,111.7
2013-06-18,112.09
2013-06-19,110.19
2013-06-20,107.56
2013-06-21,108.65
2013-06-24,109.64
2013-06-25,110.25
2013-06-26,111.18
2013-06-27,111.49
2013-06-28,110.57
2013-07-01,110.43
2013-07-02,110.85
2013-07-03,110.91
2013-07-05,111.76
2013-07-08,112.62
2013-07-09,113.35
2013-07-10,113.65
2013-07-11,115.9
2013-07-12,116.46
2013-07-15,115.89
2013-07-16,116.53
2013-07-17,117.4
2013-07-18,117.06
2013-07-19,118.07
2013-07-22,118.05
2013-07-23,119.1
2013-07-24,117.9
2013-07-25,117.45
2013-07-26,116.57
2013-07-29,117.14
2013-07-30,116.93
2013-07-31,117.42
2013-08-01,118.34
2013-08-02,119.37
2013-08-05,120.07
2013-08-06,119.5
2013-08-07,119.34
2013-08-08,117.39
2013-08-09,115.63
2013-08-12,115.73
2013-08-13,115.65
2013-08-14,113.78
2013-08-15,111.79
2013-08-16,111.9
2013-08-19,112.08
2013-08-20,112.84
2013-08-21,111.96
2013-08-22,112.24
2013-08-23,113.07
2013-08-26,111.87
2013-08-27,111.67
2013-08-28,110.46
2013-08-29,111.39
2013-08-30,111.87
2013-09-03,111.98
2013-09-04,111.5
2013-09-05,114.62
2013-09-06,114.35
2013-09-09,115.35
2013-09-10,117.32
2013-09-11,119.25
2013-09-12,118.19
2013-09-13,117.03
2013-09-16,117.35
2013-09-17,117.91
2013-09-18,118.64
2013-09-19,119.2
2013-09-20,117.94
2013-09-23,117.57
2013-09-24,116.34
2013-09-25,115.41
2013-09-26,116.4
2013-09-27,115.72
2013-09-30,115.17
2013-10-01,115
2013-10-02,114.82
2013-10-03,114.42
2013-10-04,114.44
2013-10-07,113.41
2013-10-08,112.21
2013-10-09,114.59
2013-10-10,115.7
2013-10-11,115.9
2013-10-14,116.26
2013-10-15,115.36
2013-10-16,117.36
2013-10-17,118.26
2013-10-18,117.64
2013-10-21,117.38
2013-10-22,117.81
2013-10-23,117.16
2013-10-24,116.24
2013-10-25,116.44
2013-10-28,117.35
2013-10-29,118.75
2013-10-30,117.76
2013-10-31,118
2013-11-01,119.62
2013-11-04,120.34
2013-11-05,120.13
2013-11-06,124.07
2013-11-07,122.78
2013-11-08,122.78
2013-11-11,123.02
2013-11-12,122.45
2013-11-13,123.17
2013-11-14,123.74
2013-11-15,124.29
2013-11-18,123.31
2013-11-19,123.63
2013-11-20,122.76
2013-11-21,123.89
2013-11-22,125.21
2013-11-25,125.17
2013-11-26,125.18
2013-11-27,125.38
2013-11-29,125.43
2013-12-02,123.69
2013-12-03,123.82
2013-12-04,122.97
2013-12-05,120.95
2013-12-06,122.06
2013-12-09,121.66
2013-12-10,120.04
2013-12-11,118.57
2013-12-12,118.22
2013-12-13,117.91
2013-12-16,118
2013-12-17,117.55
2013-12-18,118.5
2013-12-19,117.99
2013-12-20,118.53
2013-12-23,118.69
2013-12-24,118.69
2013-12-26,118.63
2013-12-27,118.53
2013-12-30,118.77
2013-12-31,119.02
2014-01-02,117.81
2014-01-03,117.29
2014-01-06,116.4
2014-01-07,115.86
2014-01-08,114.05
2014-01-09,118.51
2014-01-10,117.85
2014-01-13,114.77
2014-01-14,116.23
2014-01-15,116.24
2014-01-16,115.56
2014-01-17,116.29
2014-01-21,114.93
2014-01-22,113.75
2014-01-23,112.8
2014-01-24,112.13
2014-01-27,113.08
2014-01-28,114.38
2014-01-29,112.23
2014-01-30,112.73
2014-01-31,112.36
2014-02-03,110.18
2014-02-04,110.89
2014-02-05,110.51
2014-02-06,114.26
2014-02-07,114.04
2014-02-10,113.85
2014-02-11,114.99
2014-02-12,114.81
2014-02-13,115.81
2014-02-14,116.1
2014-02-18,115.36
2014-02-19,114.91
2014-02-20,115.06
2014-02-21,113.19
2014-02-24,113.94
2014-02-25,115.46
2014-02-26,115.88
2014-02-27,116.22
2014-02-28,116.8
2014-03-03,115.75
2014-03-04,116.65
2014-03-05,116.47
2014-03-06,113.26
2014-03-07,113.5
2014-03-10,114.59
2014-03-11,114.71
2014-03-12,115.21
2014-03-13,114.41
2014-03-14,113.45
2014-03-17,113.46
2014-03-18,113.85
2014-03-19,112.85
2014-03-20,113.16
2014-03-21,113.83
2014-03-24,113.37
2014-03-25,113.93
2014-03-26,112.49
2014-03-27,112.03
2014-03-28,111.66
2014-03-31,111.68
2014-04-01,111.86
2014-04-02,111.55
2014-04-03,111.7
2014-04-04,110.65
2014-04-07,110.79
2014-04-08,112.66
2014-04-09,113.05
2014-04-10,112.08
2014-04-11,112.08
2014-04-14,112.56
2014-04-15,112.06
2014-04-16,113.49
